Food_code,Main_food_description,FII,FII score,,
11710678,"Infant formula, powder, made with plain bottled water (Enfamil Gentlease)",-0.17414051,6.93212711,,
11710679,"Infant formula, powder, made with baby water (Enfamil Gentlease)",-0.17183575,6.88580538,,
11710680,"Infant formula, NS as to form (Enfamil Enfagrow Toddler Transitions)",-0.2927254,9.31547938,,
11710681,"Infant formula, ready-to-feed (Enfamil Enfragrow Toddler Transitions)",-0.2927254,9.31547938,,
11710683,"Infant formula, powder, made with water, NFS (Enfamil Enfragrow Toddler Transitions)",-0.2927254,9.31547938,,
11710687,"Infant formula, powder, made with tap water (Enfamil Enfagrow Toddler Transitions)",-0.2927254,9.31547938,,
11710688,"Infant formula, powder, made with plain bottled water (Enfamil Enfagrow Toddler Transitions)",-0.29359323,9.33292139,,
11710689,"Infant formula, powder, made with baby water (Enfamil Enfagrow Toddler Transitions)",-0.29128847,9.28659964,,
11710690,"Infant formula, NS as to form (Enfamil Enfagrow Toddler Transitions Gentlease)",-0.30806415,9.62376183,,
11710693,"Infant formula, powder, made with water, NFS (Enfamil Enfagrow Toddler Transitions Gentlease)",-0.30806415,9.62376183,,
11710697,"Infant formula, powder, made with tap water (Enfamil Enfagrow Toddler Transitions Gentlease)",-0.30806415,9.62376183,,
11710698,"Infant formula, powder, made with plain bottled water (Enfamil Enfagrow Toddler Transitions Gentlease)",-0.30921653,9.64692271,,
11710699,"Infant formula, powder, made with baby water (Enfamil Enfagrow Toddler Transitions Gentlease)",-0.30691177,9.60060095,,
11710800,"Infant formula, NS as to form (PediaSure)",-0.36403826,10.7487452,,
11710801,"Infant formula, ready-to-feed (PediaSure)",-0.36403826,10.7487452,,
11710805,"Infant formula, with fiber, NS as to form (PediaSure Fiber)",-0.33527618,10.1706768,,
11710806,"Infant formula, with fiber, ready-to-feed (PediaSure Fiber)",-0.33527618,10.1706768,,
11710807,"Toddler formula, Nido Kinder",-0.17460305,6.94142333,,
11710810,"Toddler formula, store brand, beginning or next stage",-0.17460305,6.94142333,,
11710815,"Toddler formula, store brand, pediatric shake",-0.36403826,10.7487452,,
11710905,"Infant formula, Gerber, NFS",-0.17509961,6.95140329,,
11710910,"Infant formula, NS as to form (Gerber Good Start Gentle)",-0.17233452,6.89582988,,
11710911,"Infant formula, ready-to-feed (Gerber Good Start Gentle)",-0.17233452,6.89582988,,
11710912,"Infant formula, liquid concentrate, made with water, NFS (Gerber Good Start Gentle)",-0.17233452,6.89582988,,
11710913,"Infant formula, powder, made with water, NFS (Gerber Good Start Gentle)",-0.17233452,6.89582988,,
11710914,"Infant formula, liquid concentrate, made with tap water (Gerber Good Start Gentle)",-0.17233452,6.89582988,,
11710915,"Infant formula, liquid concentrate, made with plain bottled water (Gerber Good Start Gentle)",-0.17204998,6.89011101,,
11710916,"Infant formula, liquid concentrate, made with baby water (Gerber Good Start Gentle)",-0.1708976,6.86695014,,
11710917,"Infant formula, powder, made with tap water (Gerber Good Start Gentle)",-0.17233452,6.89582988,,
11710918,"Infant formula, powder, made with plain bottled water (Gerber Good Start Gentle)",-0.17204998,6.89011101,,
11710919,"Infant formula, powder, made with baby water (Gerber Good Start Gentle)",-0.1708976,6.86695014,,
11710920,"Infant formula, NS as to form (Gerber Good Start Protect)",-0.17233452,6.89582988,,
11710921,"Infant formula, Gerber Good Start Gentle, Stage 2",-0.16754824,6.7996338,,
11710923,"Infant formula, powder, made with water, NFS (Gerber Good Start Protect)",-0.17233452,6.89582988,,
11710927,"Infant formula, powder, made with tap water (Gerber Good Start Protect)",-0.17233452,6.89582988,,
11710928,"Infant formula, powder, made with plain bottled water (Gerber Good Start Protect)",-0.17204998,6.89011101,,
